date,fips,cases,deaths,new_cases,new_deaths
2020-03-22,4013,81,2,0,0
2020-03-23,4013,139,2,58,0
2020-03-24,4013,199,2,60,0
2020-03-25,4013,251,2,52,0
2020-03-26,4013,299,4,48,2
2020-03-27,4013,399,5,100,1
2020-03-28,4013,454,5,55,0
2020-03-29,4013,546,5,92,0
2020-03-30,4013,690,5,144,0
2020-03-31,4013,791,8,101,3
2020-04-01,4013,871,8,80,0
2020-04-02,4013,961,12,90,4
2020-04-03,4013,1049,17,88,5
2020-04-04,4013,1171,28,122,11
2020-04-05,4013,1326,31,155,3
2020-04-06,4013,1433,31,107,0
2020-04-07,4013,1495,35,62,4
2020-04-08,4013,1559,37,64,2
2020-04-09,4013,1689,39,130,2
2020-04-10,4013,1741,41,52,2
2020-04-11,4013,1891,47,150,6
2020-04-12,4013,1960,48,69,1
2020-04-13,4013,2020,52,60,4
2020-04-14,4013,2056,54,36,2
2020-04-15,4013,2146,60,90,6
2020-04-16,4013,2264,64,118,4
2020-04-17,4013,2404,69,140,5
2020-04-18,4013,2491,70,87,1
2020-04-19,4013,2589,75,98,5
2020-04-20,4013,2636,75,47,0
2020-04-21,4013,2738,84,102,9
2020-04-22,4013,2846,97,108,13
2020-04-23,4013,2970,115,124,18
2020-04-24,4013,3116,120,146,5
2020-04-25,4013,3234,121,118,1
2020-04-26,4013,3359,122,125,1
2020-04-27,4013,3457,122,98,0
2020-04-28,4013,3578,137,121,15
2020-04-29,4013,3723,140,145,3
2020-04-30,4013,3972,145,249,5
2020-05-01,4013,4156,147,184,2
2020-05-02,4013,4421,159,265,12
2020-05-03,4013,4585,168,164,9
2020-05-04,4013,4751,168,166,0
2020-05-05,4013,4929,175,178,7
2020-05-06,4013,5138,186,209,11
2020-05-07,4013,5196,204,58,18
2020-05-08,4013,5525,238,329,34
2020-05-09,4013,5779,245,254,7
2020-05-10,4013,5827,247,48,2
2020-05-11,4013,5988,250,161,3
2020-05-12,4013,6219,259,231,9
2020-05-13,4013,6341,281,122,22
2020-05-14,4013,6599,292,258,11
2020-05-15,4013,6821,302,222,10
2020-05-16,4013,7096,319,275,17
2020-05-17,4013,7240,319,144,0
2020-05-18,4013,7340,324,100,5
2020-05-19,4013,7482,339,142,15
2020-05-20,4013,7644,357,162,18
2020-05-21,4013,7835,361,191,4
2020-05-22,4013,7950,368,115,7
2020-05-23,4013,8177,383,227,15
2020-05-24,4013,8277,384,100,1
2020-05-25,4013,8379,385,102,1
2020-05-26,4013,8448,384,69,-1
2020-05-27,4013,8627,397,179,13
2020-05-28,4013,8896,403,269,6
2020-05-29,4013,9112,419,216,16
2020-05-30,4013,9522,430,410,11
2020-05-31,4013,9815,432,293,2
2020-06-01,4013,9937,433,122,1
2020-06-02,4013,10536,448,599,15
2020-06-03,4013,11068,466,532,18
2020-06-04,4013,11229,471,161,5
2020-06-05,4013,12091,479,862,8
2020-06-06,4013,12761,489,670,10
2020-06-07,4013,13498,490,737,1
2020-06-08,4013,14003,491,505,1
2020-06-09,4013,14374,504,371,13
2020-06-10,4013,15282,519,908,15
2020-06-11,4013,16148,532,866,13
2020-06-12,4013,17023,536,875,4
2020-06-13,4013,17791,549,768,13
2020-06-14,4013,18692,551,901,2
2020-06-15,4013,19372,557,680,6
2020-06-16,4013,20775,568,1403,11
2020-06-17,4013,22272,579,1497,11
2020-06-18,4013,23890,598,1618,19
2020-06-19,4013,25999,615,2109,17
2020-06-20,4013,28303,633,2304,18
2020-06-21,4013,30136,632,1833,-1
2020-06-22,4013,31650,634,1514,2
2020-06-23,4013,33883,663,2233,29
2020-06-24,4013,34993,690,1110,27
2020-06-25,4013,37135,694,2142,4
2020-06-26,4013,39626,718,2491,24
2020-06-27,4013,42374,741,2748,23
2020-06-28,4013,44962,746,2588,5
2020-06-29,4013,45178,746,216,0
2020-06-30,4013,48710,771,3532,25
2020-07-01,4013,52266,817,3556,46
2020-07-02,4013,54757,843,2491,26
2020-07-03,4013,57929,865,3172,22
2020-07-04,4013,59829,880,1900,15
2020-07-05,4013,62296,883,2467,3
2020-07-06,4013,64915,881,2619,-2
2020-07-07,4013,67543,933,2628,52
2020-07-08,4013,70128,959,2585,26
2020-07-09,4013,73165,1012,3037,53
2020-07-10,4013,76328,1049,3163,37
2020-07-11,4013,78481,1093,2153,44
2020-07-12,4013,80146,1133,1665,40
2020-07-13,4013,81216,1140,1070,7
2020-07-14,4013,84233,1198,3017,58
2020-07-15,4013,86483,1277,2250,79
2020-07-16,4013,88954,1311,2471,34
2020-07-17,4013,91863,1374,2909,63
2020-07-18,4013,93870,1444,2007,70
2020-07-19,4013,95471,1473,1601,29
2020-07-20,4013,96711,1485,1240,12
2020-03-22,6037,421,5,0,0
2020-03-23,6037,536,7,115,2
2020-03-24,6037,662,11,126,4
2020-03-25,6037,799,13,137,2
2020-03-26,6037,1216,21,417,8
2020-03-27,6037,1465,27,249,6
2020-03-28,6037,1804,33,339,6
2020-03-29,6037,2136,37,332,4
2020-03-30,6037,2474,44,338,7
2020-03-31,6037,3011,54,537,10
2020-04-01,6037,3518,65,507,11
2020-04-02,6037,4045,78,527,13
2020-04-03,6037,4566,89,521,11
2020-04-04,6037,5277,117,711,28
2020-04-05,6037,5940,132,663,15
2020-04-06,6037,6360,147,420,15
2020-04-07,6037,6910,169,550,22
2020-04-08,6037,7530,198,620,29
2020-04-09,6037,7955,223,425,25
2020-04-10,6037,8430,241,475,18
2020-04-11,6037,8873,265,443,24
2020-04-12,6037,9192,296,319,31
2020-04-13,6037,9420,320,228,24
2020-04-14,6037,10047,360,627,40
2020-04-15,6037,10496,402,449,42
2020-04-16,6037,10854,455,358,53
2020-04-17,6037,11391,495,537,40
2020-04-18,6037,12021,576,630,81
2020-04-19,6037,12341,600,320,24
2020-04-20,6037,13816,617,1475,17
2020-04-21,6037,15140,663,1324,46
2020-04-22,6037,16435,729,1295,66
2020-04-23,6037,17508,797,1073,68
2020-04-24,6037,18545,850,1037,53
2020-04-25,6037,19107,895,562,45
2020-04-26,6037,19528,913,421,18
2020-04-27,6037,20417,942,889,29
2020-04-28,6037,20976,1000,559,58
2020-04-29,6037,22485,1056,1509,56
2020-04-30,6037,23182,1111,697,55
2020-05-01,6037,24215,1172,1033,61
2020-05-02,6037,24894,1209,679,37
2020-05-03,6037,25662,1229,768,20
2020-05-04,6037,26217,1256,555,27
2020-05-05,6037,27815,1313,1598,57
2020-05-06,6037,28644,1367,829,54
2020-05-07,6037,29427,1418,783,51
2020-05-08,6037,30296,1468,869,50
2020-05-09,6037,31197,1512,901,44
2020-05-10,6037,31677,1530,480,18
2020-05-11,6037,32258,1569,581,39
2020-05-12,6037,33180,1613,922,44
2020-05-13,6037,34428,1659,1248,46
2020-05-14,6037,35329,1659,901,0
2020-05-15,6037,36259,1755,930,96
2020-05-16,6037,37303,1793,1044,38
2020-05-17,6037,37974,1821,671,28
2020-05-18,6037,38451,1839,477,18
2020-05-19,6037,39573,1913,1122,74
2020-05-20,6037,40857,1970,1284,57
2020-05-21,6037,42037,2016,1180,46
2020-05-22,6037,43052,2049,1015,33
2020-05-23,6037,44055,2090,1003,41
2020-05-24,6037,44988,2104,933,14
2020-05-25,6037,46018,2116,1030,12
2020-05-26,6037,47822,2143,1804,27
2020-05-27,6037,48700,2195,878,52
2020-05-28,6037,49774,2241,1074,46
2020-05-29,6037,51562,2290,1788,49
2020-05-30,6037,53651,2338,2089,48
2020-05-31,6037,54996,2362,1345,24
2020-06-01,6037,55968,2384,972,22
2020-06-02,6037,57118,2443,1150,59
2020-06-03,6037,58234,2489,1116,46
2020-06-04,6037,59650,2531,1416,42
2020-06-05,6037,61045,2565,1395,34
2020-06-06,6037,62338,2620,1293,55
2020-06-07,6037,63844,2645,1506,25
2020-06-08,6037,64644,2655,800,10
2020-06-09,6037,65822,2707,1178,52
2020-06-10,6037,67064,2768,1242,61
2020-06-11,6037,68875,2813,1811,45
2020-06-12,6037,70476,2832,1601,19
2020-06-13,6037,72023,2890,1547,58
2020-06-14,6037,73018,2907,995,17
2020-06-15,6037,73791,2926,773,19
2020-06-16,6037,75084,2959,1293,33
2020-06-17,6037,77189,2991,2105,32
2020-06-18,6037,78227,3027,1038,36
2020-06-19,6037,79609,3063,1382,36
2020-06-20,6037,81636,3110,2027,47
2020-06-21,6037,83397,3120,1761,10
2020-06-22,6037,85942,3137,2545,17
2020-06-23,6037,88262,3171,2320,34
2020-06-24,6037,89490,3205,1228,34
2020-06-25,6037,91467,3246,1977,41
2020-06-26,6037,93232,3267,1765,21
2020-06-27,6037,95371,3285,2139,18
2020-06-28,6037,97894,3305,2523,20
2020-06-29,6037,100772,3326,2878,21
2020-06-30,6037,103529,3369,2757,43
2020-07-01,6037,105507,3402,1978,33
2020-07-02,6037,107667,3454,2160,52
2020-07-03,6037,110310,3454,2643,0
2020-07-04,6037,113497,3454,3187,0
2020-07-05,6037,114993,3487,1496,33
2020-07-06,6037,116570,3534,1577,47
2020-07-07,6037,120539,3579,3969,45
2020-07-08,6037,123004,3642,2465,63
2020-07-09,6037,124738,3689,1734,47
2020-07-10,6037,127358,3738,2620,49
2020-07-11,6037,130242,3793,2884,55
2020-07-12,6037,133549,3809,3307,16
2020-07-13,6037,136129,3822,2580,13
2020-07-14,6037,140307,3894,4178,72
2020-07-15,6037,143009,3936,2702,42
2020-07-16,6037,147468,3988,4459,52
2020-07-17,6037,150319,4047,2851,59
2020-07-18,6037,153041,4084,2722,37
2020-07-19,6037,155887,4095,2846,11
2020-07-20,6037,159045,4104,3158,9
2020-03-22,6059,95,0,0,0
2020-03-23,6059,125,0,30,0
2020-03-24,6059,152,0,27,0
2020-03-25,6059,187,1,35,1
2020-03-26,6059,256,1,69,0
2020-03-27,6059,321,3,65,2
2020-03-28,6059,321,3,0,0
2020-03-29,6059,431,4,110,1
2020-03-30,6059,464,4,33,0
2020-03-31,6059,502,7,38,3
2020-04-01,6059,606,10,104,3
2020-04-02,6059,656,13,50,3
2020-04-03,6059,711,13,55,0
2020-04-04,6059,786,14,75,1
2020-04-05,6059,834,14,48,0
2020-04-06,6059,882,14,48,0
2020-04-07,6059,931,15,49,1
2020-04-08,6059,1016,17,85,2
2020-04-09,6059,1079,17,63,0
2020-04-10,6059,1138,17,59,0
2020-04-11,6059,1221,18,83,1
2020-04-12,6059,1277,19,56,1
2020-04-13,6059,1283,19,6,0
2020-04-14,6059,1299,19,16,0
2020-04-15,6059,1376,22,77,3
2020-04-16,6059,1425,25,49,3
2020-04-17,6059,1501,28,76,3
2020-04-18,6059,1556,32,55,4
2020-04-19,6059,1636,32,80,0
2020-04-20,6059,1676,33,40,1
2020-04-21,6059,1691,33,15,0
2020-04-22,6059,1753,34,62,1
2020-04-23,6059,1827,36,74,2
2020-04-24,6059,1845,36,18,0
2020-04-25,6059,1969,38,124,2
2020-04-26,6059,2074,39,105,1
2020-04-27,6059,2126,40,52,1
2020-04-28,6059,2198,42,72,2
2020-04-29,6059,2324,44,126,2
2020-04-30,6059,2421,45,97,1
2020-05-01,6059,2591,50,170,5
2020-05-02,6059,2660,52,69,2
2020-05-03,6059,2774,52,114,0
2020-05-04,6059,2859,57,85,5
2020-05-05,6059,2931,61,72,4
2020-05-06,6059,3041,65,110,4
2020-05-07,6059,3156,66,115,1
2020-05-08,6059,3283,71,127,5
2020-05-09,6059,3395,74,112,3
2020-05-10,6059,3506,76,111,2
2020-05-11,6059,3627,76,121,0
2020-05-12,6059,3699,78,72,2
2020-05-13,6059,3843,80,144,2
2020-05-14,6059,4025,80,182,0
2020-05-15,6059,4163,84,138,4
2020-05-16,6059,4281,86,118,2
2020-05-17,6059,4396,88,115,2
2020-05-18,6059,4466,88,70,0
2020-05-19,6059,4558,88,92,0
2020-05-20,6059,4746,98,188,10
2020-05-21,6059,4866,112,120,14
2020-05-22,6059,4975,118,109,6
2020-05-23,6059,5157,130,182,12
2020-05-24,6059,5336,131,179,1
2020-05-25,6059,5469,131,133,0
2020-05-26,6059,5601,131,132,0
2020-05-27,6059,5651,136,50,5
2020-05-28,6059,5849,142,198,6
2020-05-29,6059,6045,145,196,3
2020-05-30,6059,6176,146,131,1
2020-05-31,6059,6354,147,178,1
2020-06-01,6059,6532,147,178,0
2020-06-02,6059,6640,150,108,3
2020-06-03,6059,6790,158,150,8
2020-06-04,6059,6939,165,149,7
2020-06-05,6059,7192,174,253,9
2020-06-06,6059,7391,176,199,2
2020-06-07,6059,7576,177,185,1
2020-06-08,6059,7643,177,67,0
2020-06-09,6059,7786,185,143,8
2020-06-10,6059,7991,198,205,13
2020-06-11,6059,8222,202,231,4
2020-06-12,6059,8304,210,82,8
2020-06-13,6059,8440,217,136,7
2020-06-14,6059,8581,221,141,4
2020-06-15,6059,8759,221,178,0
2020-06-16,6059,8999,233,240,12
2020-06-17,6059,9197,243,198,10
2020-06-18,6059,9292,250,95,7
2020-06-19,6059,9597,257,305,7
2020-06-20,6059,9988,267,391,10
2020-06-21,6059,10422,269,434,2
2020-06-22,6059,10595,269,173,0
2020-06-23,6059,10737,275,142,6
2020-06-24,6059,11071,299,334,24
2020-06-25,6059,11804,306,733,7
2020-06-26,6059,12221,323,417,17
2020-06-27,6059,12659,323,438,0
2020-06-28,6059,12951,326,292,3
2020-06-29,6059,13213,330,262,4
2020-06-30,6059,13843,340,630,10
2020-07-01,6059,14413,345,570,5
2020-07-02,6059,15662,354,1249,9
2020-07-03,6059,17056,360,1394,6
2020-07-04,6059,18819,360,1763,0
2020-07-05,6059,19247,363,428,3
2020-07-06,6059,19430,366,183,3
2020-07-07,6059,20167,366,737,0
2020-07-08,6059,21741,369,1574,3
2020-07-09,6059,22088,376,347,7
2020-07-10,6059,22960,402,872,26
2020-07-11,6059,23692,412,732,10
2020-07-12,6059,24430,421,738,9
2020-07-13,6059,25399,423,969,2
2020-07-14,6059,26120,433,721,10
2020-07-15,6059,27031,455,911,22
2020-07-16,6059,27904,466,873,11
2020-07-17,6059,28525,469,621,3
2020-07-18,6059,29011,494,486,25
2020-07-19,6059,29603,494,592,0
2020-07-20,6059,29986,493,383,-1
2020-03-22,6065,45,6,0,0
2020-03-23,6065,48,6,3,0
2020-03-24,6065,59,6,11,0
2020-03-25,6065,107,8,48,2
2020-03-26,6065,107,8,0,0
2020-03-27,6065,185,8,78,0
2020-03-28,6065,185,8,0,0
2020-03-29,6065,195,8,10,0
2020-03-30,6065,291,9,96,1
2020-03-31,6065,371,13,80,4
2020-04-01,6065,371,13,0,0
2020-04-02,6065,493,14,122,1
2020-04-03,6065,638,15,145,1
2020-04-04,6065,665,18,27,3
2020-04-05,6065,799,19,134,1
2020-04-06,6065,946,25,147,6
2020-04-07,6065,1016,28,70,3
2020-04-08,6065,1179,32,163,4
2020-04-09,6065,1280,33,101,1
2020-04-10,6065,1350,39,70,6
2020-04-11,6065,1431,41,81,2
2020-04-12,6065,1619,41,188,0
2020-04-13,6065,1751,50,132,9
2020-04-14,6065,1961,50,210,0
2020-04-15,6065,2105,54,144,4
2020-04-16,6065,2264,59,159,5
2020-04-17,6065,2457,69,193,10
2020-04-18,6065,2602,74,145,5
2020-04-19,6065,2638,75,36,1
2020-04-20,6065,2847,85,209,10
2020-04-21,6065,2960,93,113,8
2020-04-22,6065,3084,99,124,6
2020-04-23,6065,3218,109,134,10
2020-04-24,6065,3315,112,97,3
2020-04-25,6065,3409,117,94,5
2020-04-26,6065,3563,118,154,1
2020-04-27,6065,3643,141,80,23
2020-04-28,6065,3735,141,92,0
2020-04-29,6065,3942,143,207,2
2020-04-30,6065,4031,149,89,6
2020-05-01,6065,4079,156,48,7
2020-05-02,6065,4164,167,85,11
2020-05-03,6065,4180,167,16,0
2020-05-04,6065,4354,181,174,14
2020-05-05,6065,4454,184,100,3
2020-05-06,6065,4672,190,218,6
2020-05-07,6065,4756,194,84,4
2020-05-08,6065,4817,204,61,10
2020-05-09,6065,4992,210,175,6
2020-05-10,6065,5039,212,47,2
2020-05-11,6065,5189,217,150,5
2020-05-12,6065,5248,228,59,11
2020-05-13,6065,5343,238,95,10
2020-05-14,6065,5440,246,97,8
2020-05-15,6065,5618,249,178,3
2020-05-16,6065,5618,255,0,6
2020-05-17,6065,5633,259,15,4
2020-05-18,6065,5952,263,319,4
2020-05-19,6065,6053,270,101,7
2020-05-20,6065,6184,274,131,4
2020-05-21,6065,6343,284,159,10
2020-05-22,6065,6464,290,121,6
2020-05-23,6065,6464,298,0,8
2020-05-24,6065,6464,299,0,1
2020-05-25,6065,7004,304,540,5
2020-05-26,6065,7139,309,135,5
2020-05-27,6065,7252,314,113,5
2020-05-28,6065,7341,320,89,6
2020-05-29,6065,7486,331,145,11
2020-05-30,6065,7486,339,0,8
2020-05-31,6065,7492,339,6,0
2020-06-01,6065,7982,344,490,5
2020-06-02,6065,8155,344,173,0
2020-06-03,6065,8303,345,148,1
2020-06-04,6065,8303,345,0,0
2020-06-05,6065,8777,355,474,10
2020-06-06,6065,8777,355,0,0
2020-06-07,6065,8935,355,158,0
2020-06-08,6065,9206,356,271,1
2020-06-09,6065,9590,365,384,9
2020-06-10,6065,9911,372,321,7
2020-06-11,6065,10240,380,329,8
2020-06-12,6065,10490,383,250,3
2020-06-13,6065,10616,383,126,0
2020-06-14,6065,10931,383,315,0
2020-06-15,6065,11285,384,354,1
2020-06-16,6065,11694,395,409,11
2020-06-17,6065,11951,399,257,4
2020-06-18,6065,12467,408,516,9
2020-06-19,6065,12778,410,311,2
2020-06-20,6065,12778,410,0,0
2020-06-21,6065,13021,410,243,0
2020-06-22,6065,13800,424,779,14
2020-06-23,6065,14431,431,631,7
2020-06-24,6065,14905,432,474,1
2020-06-25,6065,15142,435,237,3
2020-06-26,6065,15643,438,501,3
2020-06-27,6065,15858,438,215,0
2020-06-28,6065,16209,438,351,0
2020-06-29,6065,16848,440,639,2
2020-06-30,6065,17683,457,835,17
2020-07-01,6065,18656,463,973,6
2020-07-02,6065,19537,465,881,2
2020-07-03,6065,20253,479,716,14
2020-07-04,6065,21171,479,918,0
2020-07-05,6065,21508,479,337,0
2020-07-06,6065,21511,486,3,7
2020-07-07,6065,22485,506,974,20
2020-07-08,6065,23279,515,794,9
2020-07-09,6065,24042,533,763,18
2020-07-10,6065,24980,537,938,4
2020-07-11,6065,25481,537,501,0
2020-07-12,6065,25994,537,513,0
2020-07-13,6065,26404,550,410,13
2020-07-14,6065,27136,553,732,3
2020-07-15,6065,27850,577,714,24
2020-07-16,6065,28492,585,642,8
2020-07-17,6065,28904,587,412,2
2020-07-18,6065,29639,587,735,0
2020-07-19,6065,30245,587,606,0
2020-07-20,6065,30340,588,95,1
2020-03-22,6071,17,0,0,0
2020-03-23,6071,17,0,0,0
2020-03-24,6071,38,1,21,1
2020-03-25,6071,54,2,16,1
2020-03-26,6071,55,3,1,1
2020-03-27,6071,64,3,9,0
2020-03-28,6071,64,3,0,0
2020-03-29,6071,111,3,47,0
2020-03-30,6071,111,3,0,0
2020-03-31,6071,183,6,72,3
2020-04-01,6071,254,6,71,0
2020-04-02,6071,304,8,50,2
2020-04-03,6071,353,13,49,5
2020-04-04,6071,353,13,0,0
2020-04-05,6071,372,13,19,0
2020-04-06,6071,530,16,158,3
2020-04-07,6071,547,17,17,1
2020-04-08,6071,641,20,94,3
2020-04-09,6071,729,24,88,4
2020-04-10,6071,810,25,81,1
2020-04-11,6071,810,25,0,0
2020-04-12,6071,887,31,77,6
2020-04-13,6071,977,31,90,0
2020-04-14,6071,977,31,0,0
2020-04-15,6071,996,39,19,8
2020-04-16,6071,1032,47,36,8
2020-04-17,6071,1096,55,64,8
2020-04-18,6071,1219,57,123,2
2020-04-19,6071,1286,57,67,0
2020-04-20,6071,1406,60,120,3
2020-04-21,6071,1489,67,83,7
2020-04-22,6071,1489,67,0,0
2020-04-23,6071,1564,72,75,5
2020-04-24,6071,1666,80,102,8
2020-04-25,6071,1732,82,66,2
2020-04-26,6071,1751,82,19,0
2020-04-27,6071,1772,82,21,0
2020-04-28,6071,1827,85,55,3
2020-04-29,6071,1928,89,101,4
2020-04-30,6071,2058,93,130,4
2020-05-01,6071,2113,96,55,3
2020-05-02,6071,2182,98,69,2
2020-05-03,6071,2182,99,0,1
2020-05-04,6071,2182,99,0,0
2020-05-05,6071,2329,101,147,2
2020-05-06,6071,2432,104,103,3
2020-05-07,6071,2562,108,130,4
2020-05-08,6071,2629,111,67,3
2020-05-09,6071,2902,119,273,8
2020-05-10,6071,2964,121,62,2
2020-05-11,6071,3015,121,51,0
2020-05-12,6071,3078,121,63,0
2020-05-13,6071,3153,138,75,17
2020-05-14,6071,3198,139,45,1
2020-05-15,6071,3311,150,113,11
2020-05-16,6071,3463,155,152,5
2020-05-17,6071,3511,155,48,0
2020-05-18,6071,3593,155,82,0
2020-05-19,6071,3707,157,114,2
2020-05-20,6071,3795,158,88,1
2020-05-21,6071,3984,164,189,6
2020-05-22,6071,4146,173,162,9
2020-05-23,6071,4315,176,169,3
2020-05-24,6071,4365,176,50,0
2020-05-25,6071,4365,176,0,0
2020-05-26,6071,4567,176,202,0
2020-05-27,6071,4777,183,210,7
2020-05-28,6071,4914,190,137,7
2020-05-29,6071,5034,199,120,9
2020-05-30,6071,5200,204,166,5
2020-05-31,6071,5246,204,46,0
2020-06-01,6071,5355,204,109,0
2020-06-02,6071,5501,208,146,4
2020-06-03,6071,5650,209,149,1
2020-06-04,6071,5793,210,143,1
2020-06-05,6071,5930,217,137,7
2020-06-06,6071,6040,224,110,7
2020-06-07,6071,6040,224,0,0
2020-06-08,6071,6247,224,207,0
2020-06-09,6071,6417,224,170,0
2020-06-10,6071,6593,225,176,1
2020-06-11,6071,6742,227,149,2
2020-06-12,6071,6976,229,234,2
2020-06-13,6071,7161,229,185,0
