fips,date,f1,f2,f3,f4,f5,f6
4013,2020-03-23,-31.0,-10.0,4.0,-36.0,-39.0,15.0
4013,2020-03-24,-32.0,-10.0,2.0,-34.0,-42.0,16.0
4013,2020-03-25,-34.0,-13.0,-4.0,-36.0,-43.0,17.0
4013,2020-03-26,-34.0,-13.0,-1.0,-39.0,-44.0,18.0
4013,2020-03-27,-37.0,-14.0,-14.0,-41.0,-43.0,19.0
4013,2020-03-28,-41.0,-15.0,-22.0,-40.0,-29.0,12.0
4013,2020-03-29,-40.0,-18.0,-6.0,-44.0,-33.0,10.0
4013,2020-03-30,-29.0,-7.0,-3.0,-39.0,-45.0,16.0
4013,2020-03-31,-32.0,-10.0,-17.0,-39.0,-47.0,18.0
4013,2020-04-01,-39.0,-17.0,-20.0,-41.0,-49.0,19.0
4013,2020-04-02,-39.0,-16.0,-15.0,-43.0,-49.0,20.0
4013,2020-04-03,-39.0,-15.0,-21.0,-43.0,-48.0,21.0
4013,2020-04-04,-44.0,-17.0,-38.0,-46.0,-35.0,14.0
4013,2020-04-05,-44.0,-21.0,-26.0,-50.0,-38.0,11.0
4013,2020-04-06,-38.0,-19.0,-14.0,-43.0,-49.0,18.0
4013,2020-04-07,-38.0,-17.0,-15.0,-42.0,-50.0,19.0
4013,2020-04-08,-38.0,-18.0,-23.0,-44.0,-51.0,19.0
4013,2020-04-09,-37.0,-16.0,-11.0,-44.0,-51.0,20.0
4013,2020-04-10,-38.0,-15.0,-17.0,-44.0,-52.0,22.0
4013,2020-04-11,-42.0,-13.0,-41.0,-46.0,-37.0,14.0
4013,2020-04-12,-57.0,-27.0,-32.0,-48.0,-42.0,10.0
4013,2020-04-13,-40.0,-21.0,-15.0,-44.0,-49.0,18.0
4013,2020-04-14,-37.0,-17.0,-14.0,-40.0,-49.0,19.0
4013,2020-04-15,-32.0,-14.0,-15.0,-39.0,-49.0,18.0
4013,2020-04-16,-35.0,-14.0,-11.0,-41.0,-49.0,19.0
4013,2020-04-17,-37.0,-16.0,-18.0,-41.0,-48.0,20.0
4013,2020-04-18,-40.0,-15.0,-30.0,-41.0,-33.0,13.0
4013,2020-04-19,-39.0,-16.0,-21.0,-46.0,-35.0,10.0
4013,2020-04-20,-34.0,-17.0,-10.0,-42.0,-48.0,17.0
4013,2020-04-21,-34.0,-15.0,-12.0,-40.0,-49.0,19.0
4013,2020-04-22,-34.0,-14.0,-16.0,-40.0,-49.0,18.0
4013,2020-04-23,-35.0,-14.0,-16.0,-42.0,-49.0,19.0
4013,2020-04-24,-37.0,-14.0,-22.0,-42.0,-48.0,20.0
4013,2020-04-25,-41.0,-12.0,-38.0,-41.0,-33.0,12.0
4013,2020-04-26,-39.0,-14.0,-34.0,-45.0,-35.0,9.0
4013,2020-04-27,-33.0,-14.0,-21.0,-41.0,-47.0,17.0
4013,2020-04-28,-33.0,-12.0,-22.0,-37.0,-49.0,11.0
4013,2020-04-29,-33.0,-11.0,-26.0,-39.0,-49.0,18.0
4013,2020-04-30,-32.0,-9.0,-19.0,-39.0,-49.0,18.0
4013,2020-05-01,-32.0,-9.0,-19.0,-38.0,-47.0,19.0
4013,2020-05-02,-38.0,-8.0,-38.0,-39.0,-31.0,11.0
4013,2020-05-03,-36.0,-10.0,-28.0,-42.0,-31.0,8.0
4013,2020-05-04,-30.0,-10.0,-16.0,-39.0,-46.0,16.0
4013,2020-05-05,-28.0,-5.0,-21.0,-35.0,-46.0,17.0
4013,2020-05-06,-31.0,-8.0,-23.0,-38.0,-47.0,17.0
4013,2020-05-07,-32.0,-7.0,-19.0,-38.0,-47.0,17.0
4013,2020-05-08,-31.0,-5.0,-20.0,-36.0,-45.0,18.0
4013,2020-05-09,-34.0,3.0,-38.0,-37.0,-27.0,10.0
4013,2020-05-10,-31.0,3.0,-33.0,-36.0,-25.0,6.0
4013,2020-05-11,-27.0,-12.0,-18.0,-37.0,-44.0,15.0
4013,2020-05-12,-26.0,-8.0,-16.0,-35.0,-44.0,16.0
4013,2020-05-13,-25.0,-8.0,-14.0,-34.0,-44.0,16.0
4013,2020-05-14,-25.0,-7.0,-10.0,-36.0,-44.0,16.0
4013,2020-05-15,-27.0,-9.0,-15.0,-36.0,-43.0,16.0
4013,2020-05-16,-30.0,-8.0,-30.0,-36.0,-23.0,8.0
4013,2020-05-17,-27.0,-10.0,-22.0,-39.0,-22.0,6.0
4013,2020-05-18,-20.0,-9.0,-11.0,-36.0,-41.0,14.0
4013,2020-05-19,-19.0,-6.0,-7.0,-34.0,-42.0,14.0
4013,2020-05-20,-17.0,-5.0,2.0,-31.0,-42.0,14.0
4013,2020-05-21,-18.0,-3.0,-1.0,-31.0,-42.0,14.0
4013,2020-05-22,-21.0,-4.0,-10.0,-31.0,-41.0,14.0
4013,2020-05-23,-27.0,-6.0,-25.0,-32.0,-20.0,7.0
4013,2020-05-24,-23.0,-7.0,-10.0,-35.0,-19.0,4.0
4013,2020-05-25,-22.0,-8.0,10.0,-41.0,-71.0,19.0
4013,2020-05-26,-20.0,-7.0,-14.0,-32.0,-41.0,14.0
4013,2020-05-27,-20.0,-8.0,-15.0,-32.0,-41.0,14.0
4013,2020-05-28,-20.0,-6.0,-14.0,-34.0,-40.0,14.0
4013,2020-05-29,-23.0,-9.0,-23.0,-33.0,-39.0,15.0
4013,2020-05-30,-27.0,-9.0,-38.0,-33.0,-12.0,7.0
4013,2020-05-31,-25.0,-8.0,-36.0,-37.0,-14.0,6.0
4013,2020-06-01,-19.0,-7.0,-26.0,-34.0,-39.0,13.0
4013,2020-06-02,-20.0,-6.0,-27.0,-33.0,-40.0,14.0
4013,2020-06-03,-19.0,-4.0,-30.0,-34.0,-40.0,14.0
4013,2020-06-04,-21.0,-6.0,-25.0,-34.0,-40.0,14.0
4013,2020-06-05,-22.0,-8.0,-26.0,-34.0,-39.0,14.0
4013,2020-06-06,-25.0,-8.0,-28.0,-34.0,-13.0,6.0
4013,2020-06-07,-21.0,-9.0,-20.0,-36.0,-14.0,5.0
4013,2020-06-08,-15.0,-8.0,-1.0,-32.0,-39.0,12.0
4013,2020-06-09,-16.0,-7.0,-8.0,-32.0,-39.0,13.0
4013,2020-06-10,-17.0,-9.0,-16.0,-34.0,-39.0,13.0
4013,2020-06-11,-19.0,-8.0,-13.0,-35.0,-39.0,13.0
4013,2020-06-12,-22.0,-8.0,-23.0,-35.0,-39.0,13.0
4013,2020-06-13,-25.0,-8.0,-31.0,-34.0,-13.0,6.0
4013,2020-06-14,-22.0,-11.0,-27.0,-36.0,-12.0,4.0
4013,2020-06-15,-19.0,-10.0,-14.0,-35.0,-40.0,12.0
4013,2020-06-16,-19.0,-8.0,-15.0,-33.0,-40.0,13.0
4013,2020-06-17,-19.0,-8.0,-17.0,-33.0,-40.0,13.0
4013,2020-06-18,-20.0,-6.0,-13.0,-34.0,-41.0,13.0
4013,2020-06-19,-22.0,-7.0,-21.0,-34.0,-41.0,13.0
4013,2020-06-20,-27.0,-5.0,-37.0,-36.0,-14.0,7.0
4013,2020-06-21,-25.0,-8.0,-37.0,-38.0,-12.0,4.0
4013,2020-06-22,-22.0,-13.0,-21.0,-37.0,-43.0,13.0
4013,2020-06-23,-22.0,-10.0,-21.0,-33.0,-43.0,14.0
4013,2020-06-24,-21.0,-11.0,-23.0,-34.0,-42.0,13.0
4013,2020-06-25,-22.0,-9.0,-18.0,-35.0,-43.0,14.0
4013,2020-06-26,-26.0,-11.0,-26.0,-36.0,-42.0,15.0
4013,2020-06-27,-30.0,-12.0,-39.0,-36.0,-16.0,8.0
4013,2020-06-28,-27.0,-14.0,-34.0,-39.0,-14.0,6.0
4013,2020-06-29,-21.0,-11.0,-16.0,-35.0,-43.0,13.0
4013,2020-06-30,-21.0,-9.0,-19.0,-33.0,-44.0,14.0
4013,2020-07-01,-21.0,-6.0,-23.0,-33.0,-44.0,14.0
4013,2020-07-02,-20.0,-3.0,-18.0,-30.0,-46.0,14.0
4013,2020-07-03,-26.0,-2.0,-24.0,-37.0,-61.0,19.0
4013,2020-07-04,-45.0,-13.0,-50.0,-45.0,-31.0,11.0
4013,2020-07-05,-36.0,-22.0,-46.0,-41.0,-22.0,7.0
4013,2020-07-06,-24.0,-12.0,-25.0,-35.0,-47.0,14.0
4013,2020-07-07,-24.0,-10.0,-27.0,-31.0,-46.0,15.0
4013,2020-07-08,-25.0,-11.0,-28.0,-34.0,-45.0,15.0
4013,2020-07-09,-26.0,-11.0,-26.0,-35.0,-45.0,15.0
4013,2020-07-10,-29.0,-12.0,-35.0,-37.0,-44.0,16.0
4013,2020-07-11,-35.0,-14.0,-52.0,-39.0,-19.0,9.0
4013,2020-07-12,-32.0,-16.0,-50.0,-41.0,-20.0,7.0
4013,2020-07-13,-26.0,-14.0,-31.0,-38.0,-45.0,14.0
4013,2020-07-14,-24.0,-11.0,-31.0,-36.0,-46.0,15.0
4013,2020-07-15,-24.0,-12.0,-30.0,-37.0,-45.0,14.0
4013,2020-07-16,-26.0,-11.0,-29.0,-36.0,-45.0,15.0
4013,2020-07-17,-28.0,-12.0,-31.0,-38.0,-44.0,15.0
4013,2020-07-18,-32.0,-13.0,-46.0,-40.0,-20.0,9.0
4013,2020-07-19,-29.0,-15.0,-36.0,-41.0,-20.0,6.0
4013,2020-07-20,-23.0,-14.0,-15.0,-36.0,-45.0,13.0
6037,2020-03-23,-42.0,-19.0,-32.0,-49.0,-47.0,22.0
6037,2020-03-24,-43.0,-20.0,-34.0,-50.0,-49.0,23.0
6037,2020-03-25,-43.0,-20.0,-34.0,-50.0,-49.0,23.0
6037,2020-03-26,-43.0,-20.0,-35.0,-51.0,-50.0,24.0
6037,2020-03-27,-45.0,-19.0,-34.0,-51.0,-49.0,25.0
6037,2020-03-28,-50.0,-21.0,-52.0,-52.0,-39.0,20.0
6037,2020-03-29,-51.0,-27.0,-48.0,-54.0,-41.0,17.0
6037,2020-03-30,-42.0,-23.0,-34.0,-52.0,-51.0,22.0
6037,2020-03-31,-42.0,-22.0,-38.0,-50.0,-51.0,23.0
6037,2020-04-01,-41.0,-18.0,-34.0,-49.0,-52.0,23.0
6037,2020-04-02,-43.0,-19.0,-39.0,-52.0,-52.0,25.0
6037,2020-04-03,-43.0,-15.0,-38.0,-51.0,-51.0,25.0
6037,2020-04-04,-50.0,-20.0,-54.0,-51.0,-41.0,20.0
6037,2020-04-05,-53.0,-27.0,-59.0,-57.0,-43.0,17.0
6037,2020-04-06,-49.0,-27.0,-58.0,-59.0,-54.0,25.0
