fips,county,state,pop_density,tot_pop,lat,long
4013,Maricopa,Arizona,181.6566767,4328810,33.34835867,-112.4918154
6037,Los Angeles,California,959.0660995,10081570,34.30828379,-118.2282411
6059,Orange,California,1542.852686,3168044,33.70147516,-117.7645998
6065,Riverside,California,129.1527789,2411439,33.74314981,-115.9933578
6071,San Bernardino,California,41.34693936,2149031,34.84060306,-116.1774685
6073,San Diego,California,304.1048605,3316073,33.03484597,-116.7365326
8031,Denver,Colorado,1777.158626,705576,39.76018276,-104.8725695
9001,Fairfield,Connecticut,583.1529244,943926,41.26809896,-73.3881171
9003,Hartford,Connecticut,469.4196971,893561,41.80283011,-72.73103891
9009,New Haven,Connecticut,547.692602,857513,41.4080325,-72.93620426
12011,Broward,Florida,618.3069841,1926205,26.15184651,-80.48725556
12086,Miami-Dade,Florida,548.6011435,2699428,25.6112362,-80.55170587
12099,Palm Beach,Florida,287.9677572,1465027,26.64676272,-80.46536002
17031,Cook,Illinois,2124.035404,5198275,41.84144849,-87.81658794
17043,DuPage,Illinois,1094.438689,929060,41.85116968,-88.08642662
17089,Kane,Illinois,395.0351442,531376,41.93842729,-88.42861412
17097,Lake,Illinois,610.1380359,701473,42.3224907,-88.00367925
17197,Will,Illinois,318.405665,689315,41.44619267,-87.97862712
18097,Marion,Indiana,926.7453632,951869,39.78163624,-86.13826325
22051,Jefferson,Louisiana,567.8008101,434850,29.74075478,-90.11115756
22071,Orleans,Louisiana,890.6507402,390845,30.06971951,-89.92660315
24005,Baltimore,Maryland,534.2930246,828018,39.45784712,-76.62911955
24031,Montgomery,Maryland,817.1556891,1043530,39.13676329,-77.20358245
24033,Prince George's,Maryland,726.8998103,908670,38.83070039,-76.8496441
24510,Baltimore,Maryland,2904.980597,609032,39.30211911,-76.61151012
25005,Bristol,Massachusetts,391.6366679,561037,41.79228404,-71.10872211
25009,Essex,Massachusetts,614.3543307,783676,42.6687626,-70.94687179
25013,Hampden,Massachusetts,292.7810018,467871,42.13440424,-72.63235561
25017,Middlesex,Massachusetts,755.7466439,1600842,42.48607732,-71.39049229
25021,Norfolk,Massachusetts,682.745088,700437,42.16073095,-71.20530408
25023,Plymouth,Massachusetts,302.1035931,515303,41.94070556,-70.80802823
25025,Suffolk,Massachusetts,5280.318491,796605,42.3279514,-71.07850442
25027,Worcester,Massachusetts,210.8013825,824772,42.35026951,-71.90493363
26099,Macomb,Michigan,701.2808613,870325,42.69158356,-82.92752801
26125,Oakland,Michigan,557.9807773,1253185,42.66090111,-83.38595416
26163,Wayne,Michigan,1109.05493,1757299,42.28098405,-83.281255
27053,Hennepin,Minnesota,868.5114543,1245837,45.00761521,-93.47694895
29189,St. Louis,Missouri,758.5382648,996919,38.6377004,-90.4458375
31055,Douglas,Nebraska,663.1382387,560617,41.29518299,-96.15085305
32003,Clark,Nevada,106.7554397,2182004,36.21458855,-115.0130241
34003,Bergen,New Jersey,1543.162803,930390,40.96010917,-74.07164325
34007,Camden,New Jersey,883.9061354,506738,39.80343818,-74.96388753
34013,Essex,New Jersey,2435.724526,795404,40.78681335,-74.24657979
34017,Hudson,New Jersey,5600.479368,670046,40.73766234,-74.07515667
34021,Mercer,New Jersey,632.9320849,367922,40.28047017,-74.70479631
34023,Middlesex,New Jersey,1031.285725,825920,40.43629879,-74.41426991
34025,Monmouth,New Jersey,512.6723788,621659,40.26549699,-74.22240686
34027,Morris,New Jersey,413.2572826,493379,40.86095313,-74.5455371
34029,Ocean,New Jersey,366.4862635,596415,39.8895449,-74.28089251
34031,Passaic,New Jersey,1045.394746,503637,41.03238628,-74.29954144
34039,Union,New Jersey,2081.551166,554033,40.65835409,-74.30680092
36029,Erie,New York,340.4200831,919355,42.76249024,-78.73063652
36059,Nassau,New York,1840.093004,1356509,40.74066522,-73.58941873
36071,Orange,New York,180.6584885,380085,41.40337468,-74.30240757
36087,Rockland,New York,722.1921662,324422,41.15027894,-74.02560498
36103,Suffolk,New York,628.3248026,1483832,40.88320119,-72.8012172
36119,Westchester,New York,868.7885484,968890,41.16278376,-73.75741653
37119,Mecklenburg,North Carolina,792.3454717,1074475,35.24469268,-80.8317671
39035,Cuyahoga,Ohio,1053.506984,1247451,41.424119,-81.65918339
39049,Franklin,Ohio,935.7634248,1290360,39.96995815,-83.01115755
42017,Bucks,Pennsylvania,400.4143764,626806,40.33682119,-75.10836643
42045,Delaware,Pennsylvania,1185.843085,564554,39.91680171,-75.40243663
42091,Montgomery,Pennsylvania,658.5961251,823823,40.21053671,-75.36652296
42101,Philadelphia,Pennsylvania,4540.418277,1579075,40.00338507,-75.1379271
47037,Davidson,Tennessee,527.2412485,687488,36.17007426,-86.78646056
47157,Shelby,Tennessee,473.4875633,936374,35.1864775,-89.89692423
48113,Dallas,Texas,1153.767311,2606868,32.76670599,-96.7779605
48201,Harris,Texas,1051.533172,4646630,29.85864939,-95.39339521
48439,Tarrant,Texas,916.3589254,2049770,32.77143818,-97.29101614
49035,Salt Lake,Utah,589.843546,1133646,40.66616532,-111.9216011
51059,Fairfax,Virginia,1131.488105,1145862,38.83677558,-77.27565836
51153,Prince William,Virginia,530.6306848,461423,38.70916224,-77.48713689
53033,King,Washington,400.7445692,2195502,47.49137892,-121.8346131
53077,Yakima,Washington,22.44924683,249697,46.45738486,-120.7380126
55079,Milwaukee,Wisconsin,1520.902487,951226,43.00486062,-87.96733172
