date,fips,cases,deaths
2020-03-22,6,1851,35
2020-03-23,6,2240,39
2020-03-24,6,2644,52
2020-03-25,6,3183,68
2020-03-26,6,4060,83
2020-03-27,6,4915,104
2020-03-28,6,5566,122
2020-03-29,6,6321,132
2020-03-30,6,7421,147
2020-03-31,6,8583,184
2020-04-01,6,9857,212
2020-04-02,6,11190,247
2020-04-03,6,12569,282
2020-04-04,6,13796,323
2020-04-05,6,15202,351
2020-04-06,6,16361,386
2020-04-07,6,17540,447
2020-04-08,6,19043,506
2020-04-09,6,20191,548
2020-04-10,6,21366,594
2020-04-11,6,22421,632
2020-04-12,6,23323,676
2020-04-13,6,24334,725
2020-04-14,6,25758,778
2020-04-15,6,27107,885
2020-04-16,6,28142,971
2020-04-17,6,29398,1050
2020-04-18,6,30829,1146
2020-04-19,6,31544,1176
2020-04-20,6,33862,1223
2020-04-21,6,35844,1316
2020-04-22,6,37573,1425
2020-04-23,6,39534,1548
2020-04-24,6,41368,1619
2020-04-25,6,42590,1692
2020-04-26,6,43691,1716
2020-04-27,6,45208,1800
2020-04-28,6,46570,1884
2020-04-29,6,48904,1961
2020-04-30,6,50470,2057
2020-05-01,6,52318,2147
2020-05-02,6,53753,2213
2020-05-03,6,55072,2235
2020-05-04,6,56333,2297
2020-05-05,6,58848,2386
2020-05-06,6,60787,2478
2020-05-07,6,62481,2561
2020-05-08,6,64616,2650
2020-05-09,6,66824,2732
2020-05-10,6,68051,2769
2020-05-11,6,69514,2820
2020-05-12,6,71150,2902
2020-05-13,6,73218,3014
2020-05-14,6,74947,3039
2020-05-15,6,77015,3192
2020-05-16,6,78933,3254
2020-05-17,6,80366,3290
2020-05-18,6,81943,3322
2020-05-19,6,83981,3422
2020-05-20,6,86125,3514
2020-05-21,6,88488,3624
2020-05-22,6,90801,3690
2020-05-23,6,92815,3768
2020-05-24,6,94743,3790
2020-05-25,6,97017,3808
2020-05-26,6,99924,3859
2020-05-27,6,101873,3961
2020-05-28,6,104071,4042
