date,f1,f2,f3,f4,f5,f6,fips
2020-03-23,-41,-18,-28.0,-52.0,-49,21,6
2020-03-24,-42,-18,-31.0,-52.0,-50,22,6
2020-03-25,-42,-19,-30.0,-52.0,-51,22,6
2020-03-26,-42,-18,-28.0,-53.0,-51,23,6
2020-03-27,-44,-17,-29.0,-54.0,-50,24,6
2020-03-28,-50,-20,-48.0,-53.0,-37,18,6
2020-03-29,-50,-24,-38.0,-54.0,-39,15,6
2020-03-30,-40,-20,-24.0,-53.0,-51,21,6
2020-03-31,-40,-18,-23.0,-52.0,-53,22,6
2020-04-01,-39,-14,-25.0,-51.0,-52,22,6
2020-04-02,-41,-15,-30.0,-54.0,-53,23,6
2020-04-03,-42,-12,-31.0,-53.0,-51,23,6
2020-04-04,-50,-18,-54.0,-54.0,-39,18,6
2020-04-05,-53,-27,-61.0,-59.0,-42,16,6
2020-04-06,-46,-23,-54.0,-60.0,-54,24,6
2020-04-07,-47,-23,-41.0,-57.0,-55,24,6
2020-04-08,-47,-22,-43.0,-58.0,-55,24,6
2020-04-09,-49,-24,-54.0,-62.0,-56,26,6
2020-04-10,-47,-19,-44.0,-59.0,-56,26,6
2020-04-11,-48,-14,-46.0,-53.0,-40,18,6
2020-04-12,-62,-34,-55.0,-58.0,-44,16,6
2020-04-13,-45,-25,-36.0,-55.0,-52,22,6
2020-04-14,-43,-21,-25.0,-52.0,-52,22,6
2020-04-15,-45,-17,-28.0,-51.0,-52,22,6
2020-04-16,-54,-16,-34.0,-53.0,-52,23,6
2020-04-17,-56,-17,-39.0,-54.0,-50,24,6
2020-04-18,-59,-18,-47.0,-50.0,-35,17,6
2020-04-19,-59,-21,-39.0,-52.0,-37,14,6
2020-04-20,-54,-19,-34.0,-53.0,-50,21,6
2020-04-21,-53,-17,-25.0,-52.0,-51,21,6
2020-04-22,-53,-16,-25.0,-52.0,-51,22,6
2020-04-23,-53,-15,-28.0,-52.0,-51,22,6
2020-04-24,-54,-14,-29.0,-52.0,-50,23,6
2020-04-25,-56,-13,-35.0,-47.0,-34,15,6
2020-04-26,-56,-17,-31.0,-50.0,-36,13,6
2020-04-27,-51,-15,-23.0,-51.0,-49,20,6
2020-04-28,-51,-14,-19.0,-49.0,-50,13,6
2020-04-29,-49,-15,-27.0,-50.0,-50,21,6
2020-04-30,-47,-12,-24.0,-50.0,-50,21,6
