state,pop_density,tot_pop,lat,long,fips
CA,97.3182589,39283497,36.1162,-119.6816,6
CT,285.0368544,3575074,41.5978,-72.7554,9
FL,150.4284449,20901636,27.7663,-81.6868,12
GA,69.59811717,10403847,33.0406,-83.6431,13
IL,88.82071982,12770631,40.3495,-88.9861,17
LA,41.6836394,4664362,31.1695,-91.8678,22
MD,239.3015863,6018848,39.0639,-76.8021,24
MA,339.0626362,6850553,42.2302,-71.5301,25
MI,67.97185767,9965265,43.3266,-84.5361,26
NJ,466.0913147,8878503,40.2989,-74.521,34
NY,160.3631206,19572319,42.1657,-74.9481,36
PA,110.385567,12791530,40.5908,-77.2098,42
TX,41.76471652,28260856,31.0545,-97.5635,48
VA,82.67751841,8454463,37.7693,-78.17,51
